"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"    Estimate","33,872"
"Texarkana city, Texas",""
"    Estimate","27,773"
"Texas City city, Texas",""
"    Estimate","31,486"
"The Colony city, Texas",""
"    Estimate","55,176"
"The Woodlands CDP, Texas",""
"    Estimate","57,675"
"Timberwood Park CDP, Texas",""
"    Estimate","62,490"
"Tyler city, Texas",""
"    Estimate","30,434"
"Universal City city, Texas",""
"    Estimate","23,413"
"University Park city, Texas",""
"    Estimate","73,515"
"Uvalde city, Texas",""
"    Estimate","28,833"
"Victoria city, Texas",""
"    Estimate","29,675"
"Waco city, Texas",""
"    Estimate","24,662"
"Watauga city, Texas",""
"    Estimate","28,600"
"Waxahachie city, Texas",""
"    Estimate","40,166"
"Weatherford city, Texas",""
"    Estimate","30,691"
"Weslaco city, Texas",""
"    Estimate","26,332"
"West Odessa CDP, Texas",""
"    Estimate","45,899"
"West University Place city, Texas",""
"    Estimate","169,311"
"Wichita Falls city, Texas",""
"    Estimate","24,288"
"Wylie city, Texas",""
"    Estimate","36,630"
"American Fork city, Utah",""
"    Estimate","31,597"
"Bountiful city, Utah",""
"    Estimate","37,996"
"Brigham City city, Utah",""
"    Estimate","32,227"
"Cedar City city, Utah",""
"    Estimate","28,343"
"Clearfield city, Utah",""
"    Estimate","32,277"
"Clinton city, Utah",""
"    Estimate","40,042"
"Cottonwood Heights city, Utah",""
"    Estimate","42,216"
"Draper city, Utah",""
"    Estimate","45,845"
"Eagle Mountain city, Utah",""
"    Estimate","38,067"
"Farmington city, Utah",""
"    Estimate","43,668"
"Herriman city, Utah",""
"    Estimate","41,590"
"Holladay city, Utah",""
"    Estimate","39,806"
"Hurricane city, Utah",""
"    Estimate","26,765"
"Kaysville city, Utah",""
"    Estimate","47,141"
"Kearns, Utah",""
"    Estimate","31,542"
"Layton city, Utah",""
"    Estimate","31,737"
"Lehi city, Utah",""
"    Estimate","50,201"
"Logan city, Utah",""
"    Estimate","16,846"
"Magna, Utah",""
"    Estimate","35,840"
"Midvale city, Utah",""
"    Estimate","36,181"
"Millcreek city, Utah",""
"    Estimate","40,158"
"Murray city, Utah",""
"    Estimate","35,596"
"North Salt Lake city, Utah",""
"    Estimate","36,119"
"Ogden city, Utah",""
"    Estimate","31,574"
"Orem city, Utah",""
"    Estimate","26,573"
"Payson city, Utah",""
"    Estimate","29,542"
"Pleasant Grove city, Utah",""
"    Estimate","35,494"
"Provo city, Utah",""
"    Estimate","15,235"
"Riverton city, Utah",""
"    Estimate","36,339"
"Roy city, Utah",""
"    Estimate","37,159"
"St. George city, Utah",""
"    Estimate","30,001"
"Salt Lake City city, Utah",""
"    Estimate","32,287"
"Sandy city, Utah",""
"    Estimate","37,850"
"Saratoga Springs city, Utah",""
"    Estimate","52,906"
"South Jordan city, Utah",""
"    Estimate","42,325"
"South Ogden city, Utah",""
"    Estimate","36,297"
"South Salt Lake city, Utah",""
"    Estimate","32,175"
"Spanish Fork city, Utah",""
"    Estimate","35,290"
"Springville city, Utah",""
"    Estimate","32,659"
"Syracuse city, Utah",""
"    Estimate","48,084"
"Taylorsville city, Utah",""
"    Estimate","40,109"
"Tooele city, Utah",""
"    Estimate","40,077"
"Washington city, Utah",""
"    Estimate","35,912"
"West Jordan city, Utah",""
"    Estimate","36,563"
"West Valley City city, Utah",""
"    Estimate","32,040"
"Burlington city, Vermont",""
"    Estimate","21,136"
"South Burlington city, Vermont",""
"    Estimate","43,804"
"Alexandria city, Virginia",""
"    Estimate","62,560"
"Annandale CDP, Virginia",""
"    Estimate","38,670"
"Arlington CDP, Virginia",""
"    Estimate","73,072"
"Ashburn CDP, Virginia",""
"    Estimate","67,795"
"Bailey's Crossroads CDP, Virginia",""
"    Estimate","40,762"
"Blacksburg town, Virginia",""
"    Estimate","11,174"
"Brambleton CDP, Virginia",""
"    Estimate","90,122"
"Buckhall CDP, Virginia",""
"    Estimate","50,044"
"Burke CDP, Virginia",""
"    Estimate","69,064"
"Cave Spring CDP, Virginia",""
"    Estimate","41,684"
"Centreville CDP, Virginia",""
"    Estimate","57,491"
"Chantilly CDP, Virginia",""
"    Estimate","48,899"
"Charlottesville city, Virginia",""
"    Estimate","29,266"
"Cherry Hill CDP, Virginia",""
"    Estimate","56,588"
"Chesapeake city, Virginia",""
"    Estimate","40,745"
"Chester CDP, Virginia",""
"    Estimate","40,896"
"Christiansburg town, Virginia",""
"    Estimate","38,160"
"Culpeper town, Virginia",""
"    Estimate","40,304"
"Dale City CDP, Virginia",""
"    Estimate","36,883"
"Danville city, Virginia",""
"    Estimate","24,959"
"Fairfax city, Virginia",""
"    Estimate","45,852"
"Fair Oaks CDP, Virginia",""
"    Estimate","60,999"
"Franconia CDP, Virginia",""
"    Estimate","61,314"
"Fredericksburg city, Virginia",""
"    Estimate","36,700"
"Hampton city, Virginia",""
"    Estimate","35,136"
"Harrisonburg city, Virginia",""
"    Estimate","20,998"
"Herndon town, Virginia",""
"    Estimate","49,330"
"Hopewell city, Virginia",""
"    Estimate","30,741"
"Hybla Valley CDP, Virginia",""
"    Estimate","31,562"
"Lake Ridge CDP, Virginia",""
"    Estimate","53,703"
"Leesburg town, Virginia",""
"    Estimate","60,608"
"Lincolnia CDP, Virginia",""
"    Estimate","40,682"
"Linton Hall CDP, Virginia",""
"    Estimate","57,857"
"Lorton CDP, Virginia",""
"    Estimate","60,740"
"Lynchburg city, Virginia",""
"    Estimate","25,826"
"McLean CDP, Virginia",""
"    Estimate","87,472"
"McNair CDP, Virginia",""
"    Estimate","54,565"
"Manassas city, Virginia",""
"    Estimate","42,225"
"Marumsco CDP, Virginia",""
"    Estimate","41,563"
"Meadowbrook CDP, Virginia",""
"    Estimate","29,993"
"Mechanicsville CDP, Virginia",""
"    Estimate","40,535"
"Montclair CDP, Virginia",""
"    Estimate","52,032"
"Neabsco CDP, Virginia",""
"    Estimate","55,898"
"Newport News city, Virginia",""
"    Estimate","31,914"
"Norfolk city, Virginia",""
"    Estimate","28,596"
"Oakton CDP, Virginia",""
"    Estimate","64,313"
"Petersburg city, Virginia",""
"    Estimate","27,688"
"Portsmouth city, Virginia",""
"    Estimate","36,103"
"Reston CDP, Virginia",""
"    Estimate","57,285"
"Richmond city, Virginia",""
"    Estimate","31,216"
"Roanoke city, Virginia",""
"    Estimate","29,994"
"Rose Hill CDP (Fairfax County), Virginia",""
"    Estimate","56,391"
"Salem city, Virginia",""
"    Estimate","31,627"
"Short Pump CDP, Virginia",""
"    Estimate","69,641"
"South Riding CDP, Virginia",""
"    Estimate","79,954"
"Springfield CDP, Virginia",""
"    Estimate","41,597"
"Staunton city, Virginia",""
"    Estimate","35,726"
"Sterling CDP, Virginia",""
"    Estimate","36,690"
"Sudley CDP, Virginia",""
"    Estimate","31,986"
"Suffolk city, Virginia",""
"    Estimate","41,543"
"Tuckahoe CDP, Virginia",""
"    Estimate","41,521"
"Tysons CDP, Virginia",""
"    Estimate","65,006"
"Virginia Beach city, Virginia",""
"    Estimate","39,683"
"Waynesboro city, Virginia",""
"    Estimate","35,663"
"West Falls Church CDP, Virginia",""
"    Estimate","50,883"
"West Springfield CDP, Virginia",""
"    Estimate","51,557"
"Winchester city, Virginia",""
"    Estimate","28,354"
"Woodlawn CDP (Fairfax County), Virginia",""
"    Estimate","37,672"
"Auburn city, Washington",""
"    Estimate","40,282"
"Bainbridge Island city, Washington",""
"    Estimate","50,445"
"Battle Ground city, Washington",""
"    Estimate","41,141"
"Bellevue city, Washington",""
"    Estimate","69,410"
"Bellingham city, Washington",""
"    Estimate","30,114"
"Bonney Lake city, Washington",""
"    Estimate","60,373"
"Bothell city, Washington",""
"    Estimate","56,000"
"Bothell West CDP, Washington",""
"    Estimate","46,423"
"Bremerton city, Washington",""
"    Estimate","33,326"
"Burien city, Washington",""
"    Estimate","38,108"
"Camas city, Washington",""
"    Estimate","51,775"
"Cottage Lake CDP, Washington",""
"    Estimate","80,758"
"Des Moines city, Washington",""
"    Estimate","41,903"
"Eastmont CDP, Washington",""
"    Estimate","54,596"
"Edmonds city, Washington",""
"    Estimate","45,681"
"Ellensburg city, Washington",""
"    Estimate","18,534"
"Everett city, Washington",""
"    Estimate","38,734"
"Fairwood CDP (King County), Washington",""
"    Estimate","46,951"
"Federal Way city, Washington",""
"    Estimate","34,581"
"Five Corners CDP, Washington",""
"    Estimate","40,239"
"Frederickson CDP, Washington",""
"    Estimate","50,914"
"Graham CDP, Washington",""
"    Estimate","41,106"
"Hazel Dell CDP, Washington",""
"    Estimate","35,337"
"Issaquah city, Washington",""
"    Estimate","76,300"
"Kenmore city, Washington",""
"    Estimate","51,402"
"Kennewick city, Washington",""
"    Estimate","35,016"
"Kent city, Washington",""
"    Estimate","41,330"
"Kirkland city, Washington",""
"    Estimate","61,214"
"Lacey city, Washington",""
"    Estimate","33,986"
"Lake Stevens city, Washington",""
"    Estimate","47,680"
"Lakewood city, Washington",""
"    Estimate","35,822"
"Longview city, Washington",""
"    Estimate","35,330"
"Lynden city, Washington",""
"    Estimate","40,972"
"Lynnwood city, Washington",""
"    Estimate","44,948"
"Maple Valley city, Washington",""
"    Estimate","70,532"
"Martha Lake CDP, Washington",""
"    Estimate","50,954"
"Marysville city, Washington",""
"    Estimate","41,156"
"Mercer Island city, Washington",""
"    Estimate","60,139"
"Mill Creek city, Washington",""
"    Estimate","48,471"
"Mill Creek East CDP, Washington",""
"    Estimate","52,213"
"Monroe city, Washington",""
"    Estimate","35,919"
"Moses Lake city, Washington",""
"    Estimate","31,942"
"Mountlake Terrace city, Washington",""
"    Estimate","45,306"
"Mount Vernon city, Washington",""
"    Estimate","35,372"
"Mukilteo city, Washington",""
"    Estimate","55,638"
"North Lynnwood CDP, Washington",""
"    Estimate","44,903"
"Oak Harbor city, Washington",""
"    Estimate","31,864"
"Olympia city, Washington",""
"    Estimate","36,685"
"Orchards CDP, Washington",""
"    Estimate","34,303"
"Parkland CDP, Washington",""
"    Estimate","31,876"
"Pasco city, Washington",""
"    Estimate","31,639"
"Port Angeles city, Washington",""
"    Estimate","37,083"
"Pullman city, Washington",""
"    Estimate","10,796"
"Puyallup city, Washington",""
"    Estimate","45,796"
"Redmond city, Washington",""
"    Estimate","90,090"
"Renton city, Washington",""
"    Estimate","48,012"
"Richland city, Washington",""
"    Estimate","47,956"
"Sammamish city, Washington",""
"    Estimate","97,616"
"SeaTac city, Washington",""
"    Estimate","37,111"
"Seattle city, Washington",""
"    Estimate","58,698"
"Shoreline city, Washington",""
"    Estimate","47,253"
"Silverdale CDP, Washington",""
"    Estimate","44,026"
"Silver Firs CDP, Washington",""
"    Estimate","75,927"
"South Hill CDP, Washington",""
"    Estimate","46,203"
"Spanaway CDP, Washington",""
"    Estimate","36,705"
"Spokane city, Washington",""
"    Estimate","31,600"
"Spokane Valley city, Washington",""
"    Estimate","36,067"
"Tacoma city, Washington",""
"    Estimate","37,773"
"Tukwila city, Washington",""
"    Estimate","40,738"
"Tumwater city, Washington",""
"    Estimate","48,952"
"Union Hill-Novelty Hill CDP, Washington",""
"    Estimate","91,880"
"University Place city, Washington",""
"    Estimate","51,236"
"Vancouver city, Washington",""
"    Estimate","36,701"
"Walla Walla city, Washington",""
"    Estimate","33,130"
"Wenatchee city, Washington",""
"    Estimate","28,927"
"Yakima city, Washington",""
"    Estimate","27,465"
"Charleston city, West Virginia",""
"    Estimate","31,165"
"Huntington city, West Virginia",""
"    Estimate","25,294"
"Martinsburg city, West Virginia",""
"    Estimate","24,983"
"Morgantown city, West Virginia",""
"    Estimate","12,706"
"Parkersburg city, West Virginia",""
"    Estimate","24,349"
"Wheeling city, West Virginia",""
"    Estimate","26,933"
"Appleton city, Wisconsin",""
"    Estimate","34,400"
"Beloit city, Wisconsin",""
"    Estimate","29,529"
"Brookfield city, Wisconsin",""
"    Estimate","51,701"
"Caledonia village, Wisconsin",""
"    Estimate","47,257"
"De Pere city, Wisconsin",""
"    Estimate","32,953"
"Eau Claire city, Wisconsin",""
"    Estimate","29,371"
"Fitchburg city, Wisconsin",""
"    Estimate","41,142"
"Fond du Lac city, Wisconsin",""
"    Estimate","35,122"
"Fox Crossing village, Wisconsin",""
"    Estimate","36,647"
"Franklin city, Wisconsin",""
"    Estimate","52,121"
"Germantown village, Wisconsin",""
"    Estimate","47,038"
"Green Bay city, Wisconsin",""
"    Estimate","31,441"
"Greenfield city, Wisconsin",""
"    Estimate","40,880"
"Janesville city, Wisconsin",""
"    Estimate","35,427"
"Kenosha city, Wisconsin",""
"    Estimate","32,388"
"La Crosse city, Wisconsin",""
"    Estimate","22,094"
"Madison city, Wisconsin",""
"    Estimate","35,881"
"Manitowoc city, Wisconsin",""
"    Estimate","31,155"
"Menomonee Falls village, Wisconsin",""
"    Estimate","50,886"
"Mequon city, Wisconsin",""
"    Estimate","47,411"
"Middleton city, Wisconsin",""
"    Estimate","55,327"
"Milwaukee city, Wisconsin",""
"    Estimate","31,157"
"Mount Pleasant village, Wisconsin",""
"    Estimate","41,898"
"Muskego city, Wisconsin",""
"    Estimate","44,277"
"Neenah city, Wisconsin",""
"    Estimate","35,934"
"New Berlin city, Wisconsin",""
"    Estimate","44,419"
"Oak Creek city, Wisconsin",""
"    Estimate","51,015"
"Oshkosh city, Wisconsin",""
"    Estimate","31,764"
"Racine city, Wisconsin",""
"    Estimate","28,609"
"Sheboygan city, Wisconsin",""
"    Estimate","35,359"
"Stevens Point city, Wisconsin",""
"    Estimate","22,968"
"Sun Prairie city, Wisconsin",""
"    Estimate","48,387"
"Superior city, Wisconsin",""
"    Estimate","32,221"
"Watertown city, Wisconsin",""
"    Estimate","31,562"
"Waukesha city, Wisconsin",""
"    Estimate","40,891"
"Wausau city, Wisconsin",""
"    Estimate","30,911"
"Wauwatosa city, Wisconsin",""
"    Estimate","50,527"
"West Allis city, Wisconsin",""
"    Estimate","41,294"
"West Bend city, Wisconsin",""
"    Estimate","35,929"
"Casper city, Wyoming",""
"    Estimate","34,240"
"Cheyenne city, Wyoming",""
"    Estimate","36,692"
"Gillette city, Wyoming",""
"    Estimate","42,644"
"Laramie city, Wyoming",""
"    Estimate","22,382"
"Rock Springs city, Wyoming",""
"    Estimate","41,052"
"Arecibo zona urbana, Puerto Rico",""
"    Estimate","15,432"
"Bayamón zona urbana, Puerto Rico",""
"    Estimate","18,049"
"Caguas zona urbana, Puerto Rico",""
"    Estimate","16,717"
"Carolina zona urbana, Puerto Rico",""
"    Estimate","19,489"
"Cataño zona urbana, Puerto Rico",""
"    Estimate","19,899"
"Fajardo zona urbana, Puerto Rico",""
"    Estimate","15,693"
"Guaynabo zona urbana, Puerto Rico",""
"    Estimate","30,977"
"Levittown comunidad, Puerto Rico",""
"    Estimate","20,320"
"Mayagüez zona urbana, Puerto Rico",""
"    Estimate","15,446"
"Ponce zona urbana, Puerto Rico",""
"    Estimate","16,576"
"San Juan zona urbana, Puerto Rico",""
"    Estimate","21,345"
"Trujillo Alto zona urbana, Puerto Rico",""
"    Estimate","20,361"
"Vega Baja zona urbana, Puerto Rico",""
"    Estimate","16,767"
