"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Indianapolis city (balance), Indiana","","","","","","","","","","","","","","","",""
"    Estimate","2.51","11,285","31","18","81","26","573,197","25,051","51,330","170,600","105,274","43,921","112,551","64,470","301,237","280,824"
"    Percent","(X)","11,285","(X)","(X)","(X)","(X)","573,197","4.4%","9.0%","29.8%","18.4%","7.7%","19.6%","11.2%","88.4%","82.4%"
"Lafayette city, Indiana","","","","","","","","","","","","","","","",""
"    Estimate","2.15","947","67","0","78","34","48,980","2,567","3,774","16,611","9,650","3,645","7,604","5,129","30,529","26,382"
"    Percent","(X)","947","(X)","(X)","(X)","(X)","48,980","5.2%","7.7%","33.9%","19.7%","7.4%","15.5%","10.5%","92.3%","79.7%"
"Muncie city, Indiana","","","","","","","","","","","","","","","",""
"    Estimate","2.27","935","20","0","82","0","38,598","397","2,405","16,601","6,688","3,800","4,030","4,677","24,524","22,092"
"    Percent","(X)","935","(X)","(X)","(X)","(X)","38,598","1.0%","6.2%","43.0%","17.3%","9.8%","10.4%","12.1%","91.6%","82.5%"
"Noblesville city, Indiana","","","","","","","","","","","","","","","",""
"    Estimate","2.78","583","0","0","72","17","40,854","111","1,236","6,790","5,839","3,305","15,941","7,632","21,896","21,106"
"    Percent","(X)","583","(X)","(X)","(X)","(X)","40,854","0.3%","3.0%","16.6%","14.3%","8.1%","39.0%","18.7%","97.3%","93.7%"
"South Bend city, Indiana","","","","","","","","","","","","","","","",""
"    Estimate","2.40","1,425","53","39","97","13","65,683","2,387","7,002","20,238","13,023","4,984","9,859","8,190","36,730","29,709"
"    Percent","(X)","1,425","(X)","(X)","(X)","(X)","65,683","3.6%","10.7%","30.8%","19.8%","7.6%","15.0%","12.5%","89.2%","72.1%"
"Ames city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.09","734","0","0","41","73","33,249","295","343","3,734","6,252","2,389","10,289","9,947","25,411","18,406"
"    Percent","(X)","734","(X)","(X)","(X)","(X)","33,249","0.9%","1.0%","11.2%","18.8%","7.2%","30.9%","29.9%","96.4%","69.9%"
"Ankeny city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.55","1,041","0","0","93","37","42,790","942","461","6,439","7,077","4,984","15,936","6,951","25,272","23,094"
"    Percent","(X)","1,041","(X)","(X)","(X)","(X)","42,790","2.2%","1.1%","15.0%","16.5%","11.6%","37.2%","16.2%","96.6%","88.3%"
"Cedar Rapids city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.25","2,436","64","0","116","49","91,093","2,163","4,899","24,477","18,695","11,971","20,484","8,404","54,498","51,939"
"    Percent","(X)","2,436","(X)","(X)","(X)","(X)","91,093","2.4%","5.4%","26.9%","20.5%","13.1%","22.5%","9.2%","94.0%","89.6%"
"Davenport city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.39","713","11","0","55","18","69,611","2,228","4,376","19,898","15,549","9,353","11,930","6,277","35,903","33,022"
"    Percent","(X)","713","(X)","(X)","(X)","(X)","69,611","3.2%","6.3%","28.6%","22.3%","13.4%","17.1%","9.0%","87.3%","80.3%"
"Des Moines city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.30","2,335","33","41","64","19","143,461","8,172","9,577","41,092","34,206","11,394","27,053","11,967","81,654","74,169"
"    Percent","(X)","2,335","(X)","(X)","(X)","(X)","143,461","5.7%","6.7%","28.6%","23.8%","7.9%","18.9%","8.3%","89.7%","81.5%"
"Iowa City city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.11","864","4","0","37","57","40,976","310","886","5,213","6,424","2,678","12,353","13,112","31,717","29,423"
"    Percent","(X)","864","(X)","(X)","(X)","(X)","40,976","0.8%","2.2%","12.7%","15.7%","6.5%","30.1%","32.0%","96.6%","89.6%"
"Sioux City city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.52","1,841","77","0","185","43","52,996","4,797","3,870","17,904","11,233","5,107","6,800","3,285","28,381","25,680"
"    Percent","(X)","1,841","(X)","(X)","(X)","(X)","52,996","9.1%","7.3%","33.8%","21.2%","9.6%","12.8%","6.2%","88.8%","80.3%"
"Waterloo city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.38","N","N","N","N","N","45,316","1,546","2,828","17,220","9,379","3,424","7,740","3,179","25,721","23,033"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","45,316","3.4%","6.2%","38.0%","20.7%","7.6%","17.1%","7.0%","92.1%","82.5%"
"West Des Moines city, Iowa","","","","","","","","","","","","","","","",""
"    Estimate","2.21","905","12","0","94","35","49,657","1,131","1,371","7,895","7,211","5,327","17,821","8,901","29,325","27,699"
"    Percent","(X)","905","(X)","(X)","(X)","(X)","49,657","2.3%","2.8%","15.9%","14.5%","10.7%","35.9%","17.9%","96.3%","90.9%"
"Kansas City city, Kansas","","","","","","","","","","","","","","","",""
"    Estimate","2.67","2,470","57","126","79","39","97,492","10,218","9,830","31,872","18,563","8,216","11,557","7,236","51,526","46,999"
"    Percent","(X)","2,470","(X)","(X)","(X)","(X)","97,492","10.5%","10.1%","32.7%","19.0%","8.4%","11.9%","7.4%","90.6%","82.6%"
"Lawrence city, Kansas","","","","","","","","","","","","","","","",""
"    Estimate","2.30","N","N","N","N","N","54,926","1,183","2,110","10,361","8,442","4,406","17,296","11,128","39,128","35,376"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","54,926","2.2%","3.8%","18.9%","15.4%","8.0%","31.5%","20.3%","99.2%","89.7%"
"Olathe city, Kansas","","","","","","","","","","","","","","","",""
"    Estimate","2.78","2,468","31","0","124","42","89,789","2,498","2,746","15,229","19,172","6,565","27,851","15,728","48,549","46,586"
"    Percent","(X)","2,468","(X)","(X)","(X)","(X)","89,789","2.8%","3.1%","17.0%","21.4%","7.3%","31.0%","17.5%","97.2%","93.2%"
"Overland Park city, Kansas","","","","","","","","","","","","","","","",""
"    Estimate","2.45","2,451","15","0","83","39","134,846","1,617","2,290","17,008","22,149","9,012","49,124","33,646","77,477","76,368"
"    Percent","(X)","2,451","(X)","(X)","(X)","(X)","134,846","1.2%","1.7%","12.6%","16.4%","6.7%","36.4%","25.0%","97.5%","96.1%"
"Shawnee city, Kansas","","","","","","","","","","","","","","","",""
"    Estimate","2.65","510","31","0","72","11","45,006","930","961","10,258","8,383","4,391","13,658","6,425","23,162","22,501"
"    Percent","(X)","510","(X)","(X)","(X)","(X)","45,006","2.1%","2.1%","22.8%","18.6%","9.8%","30.3%","14.3%","93.9%","91.2%"
"Topeka city, Kansas","","","","","","","","","","","","","","","",""
"    Estimate","2.23","2,331","48","8","158","11","84,788","1,888","4,882","26,548","20,240","6,312","16,415","8,503","47,700","38,366"
"    Percent","(X)","2,331","(X)","(X)","(X)","(X)","84,788","2.2%","5.8%","31.3%","23.9%","7.4%","19.4%","10.0%","88.2%","71.0%"
"Wichita city, Kansas","","","","","","","","","","","","","","","",""
"    Estimate","2.51","5,703","30","21","89","44","254,433","10,087","17,830","68,974","58,624","20,438","51,316","27,164","143,155","131,697"
"    Percent","(X)","5,703","(X)","(X)","(X)","(X)","254,433","4.0%","7.0%","27.1%","23.0%","8.0%","20.2%","10.7%","93.3%","85.8%"
"Bowling Green city, Kentucky","","","","","","","","","","","","","","","",""
"    Estimate","2.33","1,309","26","23","80","41","38,358","3,810","2,076","9,152","7,454","3,161","7,608","5,097","25,505","24,666"
"    Percent","(X)","1,309","(X)","(X)","(X)","(X)","38,358","9.9%","5.4%","23.9%","19.4%","8.2%","19.8%","13.3%","93.8%","90.8%"
"Lexington-Fayette urban county, Kentucky","","","","","","","","","","","","","","","",""
"    Estimate","2.35","2,722","16","6","49","22","211,577","6,581","9,352","44,780","40,585","15,127","52,172","42,980","125,102","117,509"
"    Percent","(X)","2,722","(X)","(X)","(X)","(X)","211,577","3.1%","4.4%","21.2%","19.2%","7.1%","24.7%","20.3%","94.8%","89.1%"
"Louisville/Jefferson County metro government (balance), Kentucky","","","","","","","","","","","","","","","",""
"    Estimate","2.38","6,675","38","35","74","18","426,602","13,033","27,070","122,507","93,535","34,257","84,202","51,998","233,845","219,652"
"    Percent","(X)","6,675","(X)","(X)","(X)","(X)","426,602","3.1%","6.3%","28.7%","21.9%","8.0%","19.7%","12.2%","92.5%","86.9%"
"Baton Rouge city, Louisiana","","","","","","","","","","","","","","","",""
"    Estimate","2.58","3,093","50","12","84","16","137,948","4,470","11,184","42,825","29,149","6,089","26,723","17,508","74,575","70,700"
"    Percent","(X)","3,093","(X)","(X)","(X)","(X)","137,948","3.2%","8.1%","31.0%","21.1%","4.4%","19.4%","12.7%","90.8%","86.1%"
"Bossier City city, Louisiana","","","","","","","","","","","","","","","",""
"    Estimate","2.49","N","N","N","N","N","45,665","2,158","2,839","16,231","11,040","4,225","5,754","3,418","25,337","18,433"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","45,665","4.7%","6.2%","35.5%","24.2%","9.3%","12.6%","7.5%","95.0%","69.1%"
"Kenner city, Louisiana","","","","","","","","","","","","","","","",""
"    Estimate","2.52","N","N","N","N","N","47,435","1,857","3,894","15,102","8,809","4,314","9,539","3,920","23,950","22,801"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","47,435","3.9%","8.2%","31.8%","18.6%","9.1%","20.1%","8.3%","91.6%","87.2%"
"Lafayette city, Louisiana","","","","","","","","","","","","","","","",""
"    Estimate","2.33","1,800","57","4","116","14","84,260","3,517","4,146","23,025","16,174","4,644","21,502","11,252","47,796","46,808"
"    Percent","(X)","1,800","(X)","(X)","(X)","(X)","84,260","4.2%","4.9%","27.3%","19.2%","5.5%","25.5%","13.4%","91.4%","89.6%"
"Lake Charles city, Louisiana","","","","","","","","","","","","","","","",""
"    Estimate","2.32","1,707","88","0","177","26","54,390","1,862","6,118","16,739","10,885","4,290","8,566","5,930","28,853","25,926"
"    Percent","(X)","1,707","(X)","(X)","(X)","(X)","54,390","3.4%","11.2%","30.8%","20.0%","7.9%","15.7%","10.9%","88.5%","79.5%"
"Metairie CDP, Louisiana","","","","","","","","","","","","","","","",""
"    Estimate","2.30","1,506","28","0","75","41","95,022","3,551","4,357","28,096","20,393","4,890","21,231","12,504","52,121","47,699"
"    Percent","(X)","1,506","(X)","(X)","(X)","(X)","95,022","3.7%","4.6%","29.6%","21.5%","5.1%","22.3%","13.2%","92.4%","84.5%"
"New Orleans city, Louisiana","","","","","","","","","","","","","","","",""
"    Estimate","2.50","4,517","38","0","79","17","279,405","8,230","26,385","64,474","58,633","10,863","60,495","50,325","136,923","119,556"
"    Percent","(X)","4,517","(X)","(X)","(X)","(X)","279,405","2.9%","9.4%","23.1%","21.0%","3.9%","21.7%","18.0%","90.2%","78.8%"
"Shreveport city, Louisiana","","","","","","","","","","","","","","","",""
"    Estimate","2.49","2,974","46","31","110","22","124,813","3,621","13,857","41,540","26,691","7,670","19,070","12,364","63,656","52,769"
"    Percent","(X)","2,974","(X)","(X)","(X)","(X)","124,813","2.9%","11.1%","33.3%","21.4%","6.1%","15.3%","9.9%","87.1%","72.2%"
"Portland city, Maine","","","","","","","","","","","","","","","",""
"    Estimate","2.08","635","0","0","37","38","51,378","1,609","3,134","6,882","7,709","2,555","18,565","10,924","29,166","26,895"
"    Percent","(X)","635","(X)","(X)","(X)","(X)","51,378","3.1%","6.1%","13.4%","15.0%","5.0%","36.1%","21.3%","94.4%","87.0%"
"Baltimore city, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.34","7,516","35","4","69","34","417,550","18,686","40,849","118,267","80,478","20,230","73,630","65,410","215,019","190,985"
"    Percent","(X)","7,516","(X)","(X)","(X)","(X)","417,550","4.5%","9.8%","28.3%","19.3%","4.8%","17.6%","15.7%","88.6%","78.7%"
"Columbia CDP, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.63","1,182","12","0","64","45","72,383","1,887","1,392","9,392","10,193","3,712","21,718","24,089","38,078","37,105"
"    Percent","(X)","1,182","(X)","(X)","(X)","(X)","72,383","2.6%","1.9%","13.0%","14.1%","5.1%","30.0%","33.3%","96.1%","93.6%"
"Ellicott City CDP, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.62","803","0","0","169","15","50,733","526","1,204","6,587","4,482","1,870","19,414","16,650","26,312","25,440"
"    Percent","(X)","803","(X)","(X)","(X)","(X)","50,733","1.0%","2.4%","13.0%","8.8%","3.7%","38.3%","32.8%","95.6%","92.5%"
"Frederick city, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.41","1,724","48","0","127","66","51,962","4,157","2,242","11,831","8,612","4,233","11,549","9,338","27,438","26,528"
"    Percent","(X)","1,724","(X)","(X)","(X)","(X)","51,962","8.0%","4.3%","22.8%","16.6%","8.1%","22.2%","18.0%","93.7%","90.6%"
"Gaithersburg city, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.64","799","8","41","97","19","47,442","3,326","1,930","5,760","5,294","3,633","14,366","13,133","25,302","23,749"
"    Percent","(X)","799","(X)","(X)","(X)","(X)","47,442","7.0%","4.1%","12.1%","11.2%","7.7%","30.3%","27.7%","98.9%","92.8%"
"Germantown CDP, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.90","1,510","34","0","97","56","57,252","2,206","2,628","9,178","8,714","3,648","18,928","11,950","28,567","27,499"
"    Percent","(X)","1,510","(X)","(X)","(X)","(X)","57,252","3.9%","4.6%","16.0%","15.2%","6.4%","33.1%","20.9%","99.1%","95.4%"
"Glen Burnie CDP, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.50","429","0","0","32","21","52,688","935","3,801","18,518","11,633","2,891","9,110","5,800","27,490","26,171"
"    Percent","(X)","429","(X)","(X)","(X)","(X)","52,688","1.8%","7.2%","35.1%","22.1%","5.5%","17.3%","11.0%","92.7%","88.2%"
"Rockville city, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.55","960","43","0","100","17","48,718","1,738","2,041","6,843","5,760","1,900","13,468","16,968","25,960","24,404"
"    Percent","(X)","960","(X)","(X)","(X)","(X)","48,718","3.6%","4.2%","14.0%","11.8%","3.9%","27.6%","34.8%","98.5%","92.6%"
"Silver Spring CDP, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.61","792","15","0","30","48","57,646","6,649","2,955","9,599","4,664","2,987","12,374","18,418","30,565","29,592"
"    Percent","(X)","792","(X)","(X)","(X)","(X)","57,646","11.5%","5.1%","16.7%","8.1%","5.2%","21.5%","32.0%","96.4%","93.3%"
"Waldorf CDP, Maryland","","","","","","","","","","","","","","","",""
"    Estimate","2.70","N","N","N","N","N","54,049","1,918","1,547","17,434","14,024","4,297","8,637","6,192","27,989","27,170"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","54,049","3.5%","2.9%","32.3%","25.9%","8.0%","16.0%","11.5%","93.7%","91.0%"
"Boston city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.39","5,943","10","0","29","34","485,350","32,791","22,504","92,791","61,692","24,514","133,267","117,791","251,787","237,428"
"    Percent","(X)","5,943","(X)","(X)","(X)","(X)","485,350","6.8%","4.6%","19.1%","12.7%","5.1%","27.5%","24.3%","92.7%","87.4%"
"Brockton city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.98","1,885","71","0","129","53","62,003","8,693","5,356","20,409","13,914","3,366","7,479","2,786","29,403","25,535"
"    Percent","(X)","1,885","(X)","(X)","(X)","(X)","62,003","14.0%","8.6%","32.9%","22.4%","5.4%","12.1%","4.5%","93.5%","81.2%"
"Cambridge city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.17","1,057","6","0","33","24","78,861","1,572","1,758","4,460","6,154","2,041","23,222","39,654","45,587","42,938"
"    Percent","(X)","1,057","(X)","(X)","(X)","(X)","78,861","2.0%","2.2%","5.7%","7.8%","2.6%","29.4%","50.3%","96.2%","90.6%"
"Fall River city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.33","N","N","N","N","N","61,979","7,847","6,453","21,887","11,242","4,850","6,866","2,834","32,093","28,488"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","61,979","12.7%","10.4%","35.3%","18.1%","7.8%","11.1%","4.6%","84.7%","75.2%"
"Framingham city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.63","736","29","78","50","16","49,654","2,625","2,251","11,716","6,364","2,689","13,639","10,370","25,383","24,931"
"    Percent","(X)","736","(X)","(X)","(X)","(X)","49,654","5.3%","4.5%","23.6%","12.8%","5.4%","27.5%","20.9%","94.0%","92.3%"
"Lawrence city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.83","813","44","26","81","0","52,353","8,217","6,834","18,161","10,194","1,419","4,951","2,577","24,093","20,497"
"    Percent","(X)","813","(X)","(X)","(X)","(X)","52,353","15.7%","13.1%","34.7%","19.5%","2.7%","9.5%","4.9%","86.5%","73.6%"
"Lowell city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.55","1,756","79","0","119","11","76,130","6,558","4,969","27,511","12,712","4,801","11,736","7,843","37,717","35,903"
"    Percent","(X)","1,756","(X)","(X)","(X)","(X)","76,130","8.6%","6.5%","36.1%","16.7%","6.3%","15.4%","10.3%","90.3%","86.0%"
"Lynn city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.94","N","N","N","N","N","60,303","10,872","6,020","17,324","8,505","5,481","8,339","3,762","28,015","24,004"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","60,303","18.0%","10.0%","28.7%","14.1%","9.1%","13.8%","6.2%","88.0%","75.4%"
"New Bedford city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.38","1,188","23","0","71","41","64,813","9,119","5,770","21,623","12,581","5,189","7,991","2,540","32,910","30,965"
"    Percent","(X)","1,188","(X)","(X)","(X)","(X)","64,813","14.1%","8.9%","33.4%","19.4%","8.0%","12.3%","3.9%","83.9%","79.0%"
"Newton city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.64","491","4","11","21","34","58,816","589","964","4,898","3,088","1,565","17,608","30,104","29,612","29,355"
"    Percent","(X)","491","(X)","(X)","(X)","(X)","58,816","1.0%","1.6%","8.3%","5.3%","2.7%","29.9%","51.2%","96.6%","95.8%"
"Quincy city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.21","1,251","4","0","62","54","74,144","5,970","5,132","13,999","10,302","4,784","19,005","14,952","39,514","38,431"
"    Percent","(X)","1,251","(X)","(X)","(X)","(X)","74,144","8.1%","6.9%","18.9%","13.9%","6.5%","25.6%","20.2%","93.5%","91.0%"
"Somerville city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.44","827","5","0","13","73","60,456","2,897","2,227","9,814","5,375","1,669","19,031","19,443","29,467","28,598"
"    Percent","(X)","827","(X)","(X)","(X)","(X)","60,456","4.8%","3.7%","16.2%","8.9%","2.8%","31.5%","32.2%","91.7%","89.0%"
"Springfield city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.69","1,874","32","22","73","25","94,018","8,260","10,392","34,094","18,087","7,409","9,364","6,412","47,338","41,639"
"    Percent","(X)","1,874","(X)","(X)","(X)","(X)","94,018","8.8%","11.1%","36.3%","19.2%","7.9%","10.0%","6.8%","86.2%","75.8%"
"Worcester city, Massachusetts","","","","","","","","","","","","","","","",""
"    Estimate","2.47","2,211","34","0","67","37","121,298","6,722","9,947","37,219","20,669","9,405","23,986","13,350","63,057","57,632"
"    Percent","(X)","2,211","(X)","(X)","(X)","(X)","121,298","5.5%","8.2%","30.7%","17.0%","7.8%","19.8%","11.0%","91.2%","83.4%"
"Ann Arbor city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.31","1,469","9","33","28","67","66,431","470","1,094","4,647","6,341","3,322","19,812","30,745","45,099","42,514"
"    Percent","(X)","1,469","(X)","(X)","(X)","(X)","66,431","0.7%","1.6%","7.0%","9.5%","5.0%","29.8%","46.3%","98.4%","92.8%"
"Dearborn city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","3.09","1,708","17","14","91","74","55,039","4,642","4,063","12,707","12,035","4,903","9,350","7,339","28,305","26,024"
"    Percent","(X)","1,708","(X)","(X)","(X)","(X)","55,039","8.4%","7.4%","23.1%","21.9%","8.9%","17.0%","13.3%","93.4%","85.9%"
"Detroit city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.46","10,237","57","13","108","25","441,647","19,645","52,626","154,232","110,691","30,866","42,762","30,825","235,249","201,842"
"    Percent","(X)","10,237","(X)","(X)","(X)","(X)","441,647","4.4%","11.9%","34.9%","25.1%","7.0%","9.7%","7.0%","88.1%","75.6%"
"Farmington Hills city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.43","660","9","0","57","37","58,335","1,040","1,212","6,840","9,518","3,529","18,262","17,934","30,983","30,482"
"    Percent","(X)","660","(X)","(X)","(X)","(X)","58,335","1.8%","2.1%","11.7%","16.3%","6.0%","31.3%","30.7%","94.3%","92.8%"
"Flint city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.32","2,252","109","94","159","21","62,742","1,899","7,061","22,475","17,500","5,350","5,061","3,396","33,924","28,647"
"    Percent","(X)","2,252","(X)","(X)","(X)","(X)","62,742","3.0%","11.3%","35.8%","27.9%","8.5%","8.1%","5.4%","84.6%","71.4%"
"Grand Rapids city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.50","2,465","28","0","69","22","131,079","8,229","7,883","29,507","27,606","10,099","32,973","14,782","70,496","64,966"
"    Percent","(X)","2,465","(X)","(X)","(X)","(X)","131,079","6.3%","6.0%","22.5%","21.1%","7.7%","25.2%","11.3%","91.4%","84.2%"
"Kalamazoo city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.26","1,749","69","0","115","18","42,472","3,487","2,844","8,968","9,986","3,945","8,306","4,936","28,973","25,272"
"    Percent","(X)","1,749","(X)","(X)","(X)","(X)","42,472","8.2%","6.7%","21.1%","23.5%","9.3%","19.6%","11.6%","93.9%","81.9%"
"Lansing city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.26","1,386","19","39","65","16","78,088","4,143","3,566","19,725","20,334","8,055","14,738","7,527","47,607","43,781"
"    Percent","(X)","1,386","(X)","(X)","(X)","(X)","78,088","5.3%","4.6%","25.3%","26.0%","10.3%","18.9%","9.6%","93.3%","85.8%"
"Livonia city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.43","872","26","67","38","43","68,855","1,700","2,190","15,096","15,216","7,389","18,028","9,236","35,296","34,272"
"    Percent","(X)","872","(X)","(X)","(X)","(X)","68,855","2.5%","3.2%","21.9%","22.1%","10.7%","26.2%","13.4%","93.1%","90.4%"
"Rochester Hills city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.59","769","0","0","123","11","52,452","976","1,403","8,861","7,965","3,399","17,152","12,696","27,354","26,863"
"    Percent","(X)","769","(X)","(X)","(X)","(X)","52,452","1.9%","2.7%","16.9%","15.2%","6.5%","32.7%","24.2%","96.8%","95.1%"
"Southfield city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.04","N","N","N","N","N","54,846","1,760","1,694","13,628","13,517","3,471","11,424","9,352","31,668","29,879"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","54,846","3.2%","3.1%","24.8%","24.6%","6.3%","20.8%","17.1%","90.9%","85.8%"
"Sterling Heights city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.56","1,275","1","0","61","33","99,370","5,703","5,517","32,045","19,066","9,228","17,908","9,903","48,524","47,085"
"    Percent","(X)","1,275","(X)","(X)","(X)","(X)","99,370","5.7%","5.6%","32.2%","19.2%","9.3%","18.0%","10.0%","94.5%","91.7%"
"Troy city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.67","841","5","0","80","34","60,212","1,007","775","6,873","7,654","5,174","18,986","19,743","30,791","30,117"
"    Percent","(X)","841","(X)","(X)","(X)","(X)","60,212","1.7%","1.3%","11.4%","12.7%","8.6%","31.5%","32.8%","98.0%","95.9%"
"Warren city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.53","1,659","27","0","101","11","93,772","5,440","7,358","31,264","22,852","8,407","12,357","6,094","48,095","45,017"
"    Percent","(X)","1,659","(X)","(X)","(X)","(X)","93,772","5.8%","7.8%","33.3%","24.4%","9.0%","13.2%","6.5%","91.9%","86.0%"
"Westland city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.28","1,462","31","0","130","20","58,827","1,401","4,826","20,263","14,617","4,904","7,683","5,133","32,165","30,587"
"    Percent","(X)","1,462","(X)","(X)","(X)","(X)","58,827","2.4%","8.2%","34.4%","24.8%","8.3%","13.1%","8.7%","91.1%","86.6%"
"Wyoming city, Michigan","","","","","","","","","","","","","","","",""
"    Estimate","2.66","1,534","40","59","145","0","49,601","3,431","3,522","14,222","12,210","4,096","8,652","3,468","26,747","25,487"
"    Percent","(X)","1,534","(X)","(X)","(X)","(X)","49,601","6.9%","7.1%","28.7%","24.6%","8.3%","17.4%","7.0%","94.5%","90.0%"
"Blaine city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.82","937","0","0","100","49","42,420","1,066","1,448","11,492","8,283","4,755","11,187","4,189","22,112","21,718"
"    Percent","(X)","937","(X)","(X)","(X)","(X)","42,420","2.5%","3.4%","27.1%","19.5%","11.2%","26.4%","9.9%","95.1%","93.4%"
"Bloomington city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.34","1,408","53","0","114","45","62,821","2,882","2,172","11,205","13,286","6,832","18,687","7,757","33,670","31,100"
"    Percent","(X)","1,408","(X)","(X)","(X)","(X)","62,821","4.6%","3.5%","17.8%","21.1%","10.9%","29.7%","12.3%","93.9%","86.8%"
"Brooklyn Park city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.96","1,797","39","0","149","50","50,138","2,686","2,010","13,481","11,376","6,418","10,650","3,517","26,602","25,329"
"    Percent","(X)","1,797","(X)","(X)","(X)","(X)","50,138","5.4%","4.0%","26.9%","22.7%","12.8%","21.2%","7.0%","98.2%","93.5%"
"Duluth city, Minnesota","","","","","","","","","","","","","","","",""
"    Estimate","2.13","710","10","0","36","38","54,361","848","1,873","11,950","13,221","5,815","12,378","8,276","34,501","32,290"
"    Percent","(X)","710","(X)","(X)","(X)","(X)","54,361","1.6%","3.4%","22.0%","24.3%","10.7%","22.8%","15.2%","92.3%","86.4%"
"Eagan city, Minnesota","","","","","","","","","","","","","","","",""
