"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Percent","(X)","5.3%","17.7%","31.8%","17.3%","93.1%","82.5%"
"Bolingbrook village, Illinois","","","","","","",""
"    Estimate","3.19","2,386","13,738","11,127","5,513","21,833","20,739"
"    Percent","(X)","5.0%","28.6%","23.1%","11.5%","95.4%","90.6%"
"Champaign city, Illinois","","","","","","",""
"    Estimate","2.25","2,076","8,619","9,894","14,617","33,781","30,416"
"    Percent","(X)","4.4%","18.2%","20.8%","30.8%","94.2%","84.8%"
"Chicago city, Illinois","","","","","","",""
"    Estimate","2.44","134,412","415,206","451,146","330,412","982,944","902,834"
"    Percent","(X)","7.1%","22.0%","23.9%","17.5%","91.0%","83.6%"
"Cicero town, Illinois","","","","","","",""
"    Estimate","3.57","5,837","16,801","4,203","871","19,743","19,502"
"    Percent","(X)","12.3%","35.4%","8.9%","1.8%","88.1%","87.1%"
"Decatur city, Illinois","","","","","","",""
"    Estimate","2.22","2,620","20,302","6,478","3,664","26,298","21,368"
"    Percent","(X)","5.3%","41.4%","13.2%","7.5%","88.3%","71.8%"
"Elgin city, Illinois","","","","","","",""
"    Estimate","2.95","5,427","18,985","11,621","4,970","35,100","32,952"
"    Percent","(X)","7.7%","26.8%","16.4%","7.0%","95.3%","89.4%"
"Evanston city, Illinois","","","","","","",""
"    Estimate","2.36","1,172","4,697","15,657","20,258","26,908","25,126"
"    Percent","(X)","2.4%","9.6%","32.1%","41.6%","96.5%","90.1%"
"Joliet city, Illinois","","","","","","",""
"    Estimate","2.99","6,595","28,708","15,656","7,324","45,736","42,628"
"    Percent","(X)","7.0%","30.4%","16.6%","7.8%","93.9%","87.5%"
"Naperville city, Illinois","","","","","","",""
"    Estimate","2.82","1,421","10,642","37,827","32,179","51,535","51,054"
"    Percent","(X)","1.4%","10.5%","37.3%","31.7%","98.7%","97.7%"
"Palatine village, Illinois","","","","","","",""
"    Estimate","2.60","932","7,891","13,875","8,512","24,941","24,017"
"    Percent","(X)","2.1%","17.5%","30.8%","18.9%","96.4%","92.8%"
"Peoria city, Illinois","","","","","","",""
"    Estimate","2.29","4,571","19,229","15,124","10,984","41,766","37,975"
"    Percent","(X)","6.3%","26.5%","20.9%","15.1%","90.5%","82.3%"
"Rockford city, Illinois","","","","","","",""
"    Estimate","2.43","7,936","27,520","15,544","8,418","51,978","47,408"
"    Percent","(X)","8.4%","29.3%","16.5%","9.0%","90.5%","82.5%"
"Schaumburg village, Illinois","","","","","","",""
"    Estimate","2.36","1,044","10,116","16,938","11,891","29,170","27,991"
"    Percent","(X)","2.0%","19.0%","31.8%","22.3%","95.0%","91.1%"
"Skokie village, Illinois","","","","","","",""
"    Estimate","3.08","1,866","9,036","11,991","7,561","19,464","18,872"
"    Percent","(X)","4.3%","20.7%","27.5%","17.4%","97.0%","94.1%"
"Springfield city, Illinois","","","","","","",""
"    Estimate","2.23","4,689","21,630","16,605","10,283","44,494","39,225"
"    Percent","(X)","5.9%","27.4%","21.0%","13.0%","89.8%","79.2%"
"Waukegan city, Illinois","","","","","","",""
"    Estimate","2.89","4,955","14,756","6,128","3,465","27,026","24,859"
"    Percent","(X)","9.3%","27.6%","11.5%","6.5%","92.9%","85.4%"
"Bloomington city, Indiana","","","","","","",""
"    Estimate","2.38","1,087","7,724","10,652","12,032","28,239","26,025"
"    Percent","(X)","2.7%","19.4%","26.8%","30.2%","93.9%","86.5%"
"Carmel city, Indiana","","","","","","",""
"    Estimate","2.63","855","5,071","25,135","25,042","37,535","37,276"
"    Percent","(X)","1.3%","7.6%","37.8%","37.6%","97.0%","96.4%"
"Evansville city, Indiana","","","","","","",""
"    Estimate","2.23","7,397","29,984","11,198","5,393","45,591","43,044"
"    Percent","(X)","9.3%","37.7%","14.1%","6.8%","89.9%","84.9%"
"Fishers city, Indiana","","","","","","",""
"    Estimate","2.76","303","7,111","25,575","14,346","34,357","33,769"
"    Percent","(X)","0.5%","11.4%","41.1%","23.1%","98.6%","96.9%"
"Fort Wayne city, Indiana","","","","","","",""
"    Estimate","2.45","11,683","48,301","31,894","15,301","99,449","94,984"
"    Percent","(X)","6.8%","28.2%","18.6%","8.9%","94.3%","90.1%"
"Gary city, Indiana","","","","","","",""
"    Estimate","2.38","4,171","17,932","3,949","2,533","25,452","20,152"
"    Percent","(X)","9.0%","38.7%","8.5%","5.5%","86.4%","68.4%"
"Hammond city, Indiana","","","","","","",""
"    Estimate","2.53","5,123","21,289","5,171","1,525","26,067","22,498"
"    Percent","(X)","10.0%","41.5%","10.1%","3.0%","88.7%","76.5%"
"Indianapolis city (balance), Indiana","","","","","","",""
"    Estimate","2.51","51,330","170,600","112,551","64,470","301,237","280,824"
"    Percent","(X)","9.0%","29.8%","19.6%","11.2%","88.4%","82.4%"
"Lafayette city, Indiana","","","","","","",""
"    Estimate","2.15","3,774","16,611","7,604","5,129","30,529","26,382"
"    Percent","(X)","7.7%","33.9%","15.5%","10.5%","92.3%","79.7%"
"Muncie city, Indiana","","","","","","",""
"    Estimate","2.27","2,405","16,601","4,030","4,677","24,524","22,092"
"    Percent","(X)","6.2%","43.0%","10.4%","12.1%","91.6%","82.5%"
"Noblesville city, Indiana","","","","","","",""
"    Estimate","2.78","1,236","6,790","15,941","7,632","21,896","21,106"
"    Percent","(X)","3.0%","16.6%","39.0%","18.7%","97.3%","93.7%"
"South Bend city, Indiana","","","","","","",""
"    Estimate","2.40","7,002","20,238","9,859","8,190","36,730","29,709"
"    Percent","(X)","10.7%","30.8%","15.0%","12.5%","89.2%","72.1%"
"Ames city, Iowa","","","","","","",""
"    Estimate","2.09","343","3,734","10,289","9,947","25,411","18,406"
"    Percent","(X)","1.0%","11.2%","30.9%","29.9%","96.4%","69.9%"
"Ankeny city, Iowa","","","","","","",""
"    Estimate","2.55","461","6,439","15,936","6,951","25,272","23,094"
"    Percent","(X)","1.1%","15.0%","37.2%","16.2%","96.6%","88.3%"
"Cedar Rapids city, Iowa","","","","","","",""
"    Estimate","2.25","4,899","24,477","20,484","8,404","54,498","51,939"
"    Percent","(X)","5.4%","26.9%","22.5%","9.2%","94.0%","89.6%"
"Davenport city, Iowa","","","","","","",""
"    Estimate","2.39","4,376","19,898","11,930","6,277","35,903","33,022"
"    Percent","(X)","6.3%","28.6%","17.1%","9.0%","87.3%","80.3%"
"Des Moines city, Iowa","","","","","","",""
"    Estimate","2.30","9,577","41,092","27,053","11,967","81,654","74,169"
"    Percent","(X)","6.7%","28.6%","18.9%","8.3%","89.7%","81.5%"
"Iowa City city, Iowa","","","","","","",""
"    Estimate","2.11","886","5,213","12,353","13,112","31,717","29,423"
"    Percent","(X)","2.2%","12.7%","30.1%","32.0%","96.6%","89.6%"
"Sioux City city, Iowa","","","","","","",""
"    Estimate","2.52","3,870","17,904","6,800","3,285","28,381","25,680"
"    Percent","(X)","7.3%","33.8%","12.8%","6.2%","88.8%","80.3%"
"Waterloo city, Iowa","","","","","","",""
"    Estimate","2.38","2,828","17,220","7,740","3,179","25,721","23,033"
"    Percent","(X)","6.2%","38.0%","17.1%","7.0%","92.1%","82.5%"
"West Des Moines city, Iowa","","","","","","",""
"    Estimate","2.21","1,371","7,895","17,821","8,901","29,325","27,699"
"    Percent","(X)","2.8%","15.9%","35.9%","17.9%","96.3%","90.9%"
"Kansas City city, Kansas","","","","","","",""
"    Estimate","2.67","9,830","31,872","11,557","7,236","51,526","46,999"
"    Percent","(X)","10.1%","32.7%","11.9%","7.4%","90.6%","82.6%"
"Lawrence city, Kansas","","","","","","",""
"    Estimate","2.30","2,110","10,361","17,296","11,128","39,128","35,376"
"    Percent","(X)","3.8%","18.9%","31.5%","20.3%","99.2%","89.7%"
"Olathe city, Kansas","","","","","","",""
"    Estimate","2.78","2,746","15,229","27,851","15,728","48,549","46,586"
"    Percent","(X)","3.1%","17.0%","31.0%","17.5%","97.2%","93.2%"
"Overland Park city, Kansas","","","","","","",""
"    Estimate","2.45","2,290","17,008","49,124","33,646","77,477","76,368"
"    Percent","(X)","1.7%","12.6%","36.4%","25.0%","97.5%","96.1%"
"Shawnee city, Kansas","","","","","","",""
"    Estimate","2.65","961","10,258","13,658","6,425","23,162","22,501"
"    Percent","(X)","2.1%","22.8%","30.3%","14.3%","93.9%","91.2%"
"Topeka city, Kansas","","","","","","",""
"    Estimate","2.23","4,882","26,548","16,415","8,503","47,700","38,366"
"    Percent","(X)","5.8%","31.3%","19.4%","10.0%","88.2%","71.0%"
"Wichita city, Kansas","","","","","","",""
"    Estimate","2.51","17,830","68,974","51,316","27,164","143,155","131,697"
"    Percent","(X)","7.0%","27.1%","20.2%","10.7%","93.3%","85.8%"
"Bowling Green city, Kentucky","","","","","","",""
"    Estimate","2.33","2,076","9,152","7,608","5,097","25,505","24,666"
"    Percent","(X)","5.4%","23.9%","19.8%","13.3%","93.8%","90.8%"
"Lexington-Fayette urban county, Kentucky","","","","","","",""
"    Estimate","2.35","9,352","44,780","52,172","42,980","125,102","117,509"
"    Percent","(X)","4.4%","21.2%","24.7%","20.3%","94.8%","89.1%"
"Louisville/Jefferson County metro government (balance), Kentucky","","","","","","",""
"    Estimate","2.38","27,070","122,507","84,202","51,998","233,845","219,652"
"    Percent","(X)","6.3%","28.7%","19.7%","12.2%","92.5%","86.9%"
"Baton Rouge city, Louisiana","","","","","","",""
"    Estimate","2.58","11,184","42,825","26,723","17,508","74,575","70,700"
"    Percent","(X)","8.1%","31.0%","19.4%","12.7%","90.8%","86.1%"
"Bossier City city, Louisiana","","","","","","",""
"    Estimate","2.49","2,839","16,231","5,754","3,418","25,337","18,433"
"    Percent","(X)","6.2%","35.5%","12.6%","7.5%","95.0%","69.1%"
"Kenner city, Louisiana","","","","","","",""
"    Estimate","2.52","3,894","15,102","9,539","3,920","23,950","22,801"
"    Percent","(X)","8.2%","31.8%","20.1%","8.3%","91.6%","87.2%"
"Lafayette city, Louisiana","","","","","","",""
"    Estimate","2.33","4,146","23,025","21,502","11,252","47,796","46,808"
"    Percent","(X)","4.9%","27.3%","25.5%","13.4%","91.4%","89.6%"
"Lake Charles city, Louisiana","","","","","","",""
"    Estimate","2.32","6,118","16,739","8,566","5,930","28,853","25,926"
"    Percent","(X)","11.2%","30.8%","15.7%","10.9%","88.5%","79.5%"
"Metairie CDP, Louisiana","","","","","","",""
"    Estimate","2.30","4,357","28,096","21,231","12,504","52,121","47,699"
"    Percent","(X)","4.6%","29.6%","22.3%","13.2%","92.4%","84.5%"
"New Orleans city, Louisiana","","","","","","",""
"    Estimate","2.50","26,385","64,474","60,495","50,325","136,923","119,556"
"    Percent","(X)","9.4%","23.1%","21.7%","18.0%","90.2%","78.8%"
"Shreveport city, Louisiana","","","","","","",""
"    Estimate","2.49","13,857","41,540","19,070","12,364","63,656","52,769"
"    Percent","(X)","11.1%","33.3%","15.3%","9.9%","87.1%","72.2%"
"Portland city, Maine","","","","","","",""
"    Estimate","2.08","3,134","6,882","18,565","10,924","29,166","26,895"
"    Percent","(X)","6.1%","13.4%","36.1%","21.3%","94.4%","87.0%"
"Baltimore city, Maryland","","","","","","",""
"    Estimate","2.34","40,849","118,267","73,630","65,410","215,019","190,985"
"    Percent","(X)","9.8%","28.3%","17.6%","15.7%","88.6%","78.7%"
"Columbia CDP, Maryland","","","","","","",""
"    Estimate","2.63","1,392","9,392","21,718","24,089","38,078","37,105"
"    Percent","(X)","1.9%","13.0%","30.0%","33.3%","96.1%","93.6%"
"Ellicott City CDP, Maryland","","","","","","",""
"    Estimate","2.62","1,204","6,587","19,414","16,650","26,312","25,440"
"    Percent","(X)","2.4%","13.0%","38.3%","32.8%","95.6%","92.5%"
"Frederick city, Maryland","","","","","","",""
"    Estimate","2.41","2,242","11,831","11,549","9,338","27,438","26,528"
"    Percent","(X)","4.3%","22.8%","22.2%","18.0%","93.7%","90.6%"
"Gaithersburg city, Maryland","","","","","","",""
"    Estimate","2.64","1,930","5,760","14,366","13,133","25,302","23,749"
"    Percent","(X)","4.1%","12.1%","30.3%","27.7%","98.9%","92.8%"
"Germantown CDP, Maryland","","","","","","",""
"    Estimate","2.90","2,628","9,178","18,928","11,950","28,567","27,499"
"    Percent","(X)","4.6%","16.0%","33.1%","20.9%","99.1%","95.4%"
"Glen Burnie CDP, Maryland","","","","","","",""
"    Estimate","2.50","3,801","18,518","9,110","5,800","27,490","26,171"
"    Percent","(X)","7.2%","35.1%","17.3%","11.0%","92.7%","88.2%"
"Rockville city, Maryland","","","","","","",""
"    Estimate","2.55","2,041","6,843","13,468","16,968","25,960","24,404"
"    Percent","(X)","4.2%","14.0%","27.6%","34.8%","98.5%","92.6%"
"Silver Spring CDP, Maryland","","","","","","",""
"    Estimate","2.61","2,955","9,599","12,374","18,418","30,565","29,592"
"    Percent","(X)","5.1%","16.7%","21.5%","32.0%","96.4%","93.3%"
"Waldorf CDP, Maryland","","","","","","",""
"    Estimate","2.70","1,547","17,434","8,637","6,192","27,989","27,170"
"    Percent","(X)","2.9%","32.3%","16.0%","11.5%","93.7%","91.0%"
"Boston city, Massachusetts","","","","","","",""
"    Estimate","2.39","22,504","92,791","133,267","117,791","251,787","237,428"
"    Percent","(X)","4.6%","19.1%","27.5%","24.3%","92.7%","87.4%"
"Brockton city, Massachusetts","","","","","","",""
"    Estimate","2.98","5,356","20,409","7,479","2,786","29,403","25,535"
"    Percent","(X)","8.6%","32.9%","12.1%","4.5%","93.5%","81.2%"
"Cambridge city, Massachusetts","","","","","","",""
"    Estimate","2.17","1,758","4,460","23,222","39,654","45,587","42,938"
"    Percent","(X)","2.2%","5.7%","29.4%","50.3%","96.2%","90.6%"
"Fall River city, Massachusetts","","","","","","",""
"    Estimate","2.33","6,453","21,887","6,866","2,834","32,093","28,488"
"    Percent","(X)","10.4%","35.3%","11.1%","4.6%","84.7%","75.2%"
"Framingham city, Massachusetts","","","","","","",""
"    Estimate","2.63","2,251","11,716","13,639","10,370","25,383","24,931"
"    Percent","(X)","4.5%","23.6%","27.5%","20.9%","94.0%","92.3%"
"Lawrence city, Massachusetts","","","","","","",""
"    Estimate","2.83","6,834","18,161","4,951","2,577","24,093","20,497"
"    Percent","(X)","13.1%","34.7%","9.5%","4.9%","86.5%","73.6%"
"Lowell city, Massachusetts","","","","","","",""
"    Estimate","2.55","4,969","27,511","11,736","7,843","37,717","35,903"
"    Percent","(X)","6.5%","36.1%","15.4%","10.3%","90.3%","86.0%"
"Lynn city, Massachusetts","","","","","","",""
"    Estimate","2.94","6,020","17,324","8,339","3,762","28,015","24,004"
"    Percent","(X)","10.0%","28.7%","13.8%","6.2%","88.0%","75.4%"
"New Bedford city, Massachusetts","","","","","","",""
"    Estimate","2.38","5,770","21,623","7,991","2,540","32,910","30,965"
"    Percent","(X)","8.9%","33.4%","12.3%","3.9%","83.9%","79.0%"
"Newton city, Massachusetts","","","","","","",""
"    Estimate","2.64","964","4,898","17,608","30,104","29,612","29,355"
"    Percent","(X)","1.6%","8.3%","29.9%","51.2%","96.6%","95.8%"
"Quincy city, Massachusetts","","","","","","",""
"    Estimate","2.21","5,132","13,999","19,005","14,952","39,514","38,431"
"    Percent","(X)","6.9%","18.9%","25.6%","20.2%","93.5%","91.0%"
"Somerville city, Massachusetts","","","","","","",""
"    Estimate","2.44","2,227","9,814","19,031","19,443","29,467","28,598"
"    Percent","(X)","3.7%","16.2%","31.5%","32.2%","91.7%","89.0%"
"Springfield city, Massachusetts","","","","","","",""
"    Estimate","2.69","10,392","34,094","9,364","6,412","47,338","41,639"
"    Percent","(X)","11.1%","36.3%","10.0%","6.8%","86.2%","75.8%"
"Worcester city, Massachusetts","","","","","","",""
"    Estimate","2.47","9,947","37,219","23,986","13,350","63,057","57,632"
"    Percent","(X)","8.2%","30.7%","19.8%","11.0%","91.2%","83.4%"
"Ann Arbor city, Michigan","","","","","","",""
"    Estimate","2.31","1,094","4,647","19,812","30,745","45,099","42,514"
"    Percent","(X)","1.6%","7.0%","29.8%","46.3%","98.4%","92.8%"
"Dearborn city, Michigan","","","","","","",""
"    Estimate","3.09","4,063","12,707","9,350","7,339","28,305","26,024"
"    Percent","(X)","7.4%","23.1%","17.0%","13.3%","93.4%","85.9%"
"Detroit city, Michigan","","","","","","",""
"    Estimate","2.46","52,626","154,232","42,762","30,825","235,249","201,842"
"    Percent","(X)","11.9%","34.9%","9.7%","7.0%","88.1%","75.6%"
"Farmington Hills city, Michigan","","","","","","",""
"    Estimate","2.43","1,212","6,840","18,262","17,934","30,983","30,482"
"    Percent","(X)","2.1%","11.7%","31.3%","30.7%","94.3%","92.8%"
"Flint city, Michigan","","","","","","",""
"    Estimate","2.32","7,061","22,475","5,061","3,396","33,924","28,647"
"    Percent","(X)","11.3%","35.8%","8.1%","5.4%","84.6%","71.4%"
"Grand Rapids city, Michigan","","","","","","",""
"    Estimate","2.50","7,883","29,507","32,973","14,782","70,496","64,966"
"    Percent","(X)","6.0%","22.5%","25.2%","11.3%","91.4%","84.2%"
"Kalamazoo city, Michigan","","","","","","",""
"    Estimate","2.26","2,844","8,968","8,306","4,936","28,973","25,272"
"    Percent","(X)","6.7%","21.1%","19.6%","11.6%","93.9%","81.9%"
"Lansing city, Michigan","","","","","","",""
"    Estimate","2.26","3,566","19,725","14,738","7,527","47,607","43,781"
"    Percent","(X)","4.6%","25.3%","18.9%","9.6%","93.3%","85.8%"
"Livonia city, Michigan","","","","","","",""
"    Estimate","2.43","2,190","15,096","18,028","9,236","35,296","34,272"
"    Percent","(X)","3.2%","21.9%","26.2%","13.4%","93.1%","90.4%"
"Rochester Hills city, Michigan","","","","","","",""
"    Estimate","2.59","1,403","8,861","17,152","12,696","27,354","26,863"
"    Percent","(X)","2.7%","16.9%","32.7%","24.2%","96.8%","95.1%"
"Southfield city, Michigan","","","","","","",""
"    Estimate","2.04","1,694","13,628","11,424","9,352","31,668","29,879"
"    Percent","(X)","3.1%","24.8%","20.8%","17.1%","90.9%","85.8%"
"Sterling Heights city, Michigan","","","","","","",""
"    Estimate","2.56","5,517","32,045","17,908","9,903","48,524","47,085"
"    Percent","(X)","5.6%","32.2%","18.0%","10.0%","94.5%","91.7%"
"Troy city, Michigan","","","","","","",""
"    Estimate","2.67","775","6,873","18,986","19,743","30,791","30,117"
"    Percent","(X)","1.3%","11.4%","31.5%","32.8%","98.0%","95.9%"
"Warren city, Michigan","","","","","","",""
"    Estimate","2.53","7,358","31,264","12,357","6,094","48,095","45,017"
"    Percent","(X)","7.8%","33.3%","13.2%","6.5%","91.9%","86.0%"
"Westland city, Michigan","","","","","","",""
"    Estimate","2.28","4,826","20,263","7,683","5,133","32,165","30,587"
"    Percent","(X)","8.2%","34.4%","13.1%","8.7%","91.1%","86.6%"
"Wyoming city, Michigan","","","","","","",""
"    Estimate","2.66","3,522","14,222","8,652","3,468","26,747","25,487"
"    Percent","(X)","7.1%","28.7%","17.4%","7.0%","94.5%","90.0%"
"Blaine city, Minnesota","","","","","","",""
"    Estimate","2.82","1,448","11,492","11,187","4,189","22,112","21,718"
"    Percent","(X)","3.4%","27.1%","26.4%","9.9%","95.1%","93.4%"
"Bloomington city, Minnesota","","","","","","",""
"    Estimate","2.34","2,172","11,205","18,687","7,757","33,670","31,100"
"    Percent","(X)","3.5%","17.8%","29.7%","12.3%","93.9%","86.8%"
"Brooklyn Park city, Minnesota","","","","","","",""
"    Estimate","2.96","2,010","13,481","10,650","3,517","26,602","25,329"
"    Percent","(X)","4.0%","26.9%","21.2%","7.0%","98.2%","93.5%"
"Duluth city, Minnesota","","","","","","",""
"    Estimate","2.13","1,873","11,950","12,378","8,276","34,501","32,290"
"    Percent","(X)","3.4%","22.0%","22.8%","15.2%","92.3%","86.4%"
"Eagan city, Minnesota","","","","","","",""
"    Estimate","2.69","775","7,494","12,595","8,190","24,032","22,678"
"    Percent","(X)","1.8%","17.4%","29.2%","19.0%","98.0%","92.5%"
"Lakeville city, Minnesota","","","","","","",""
"    Estimate","3.02","329","6,243","15,705","6,361","21,830","21,050"
"    Percent","(X)","0.8%","14.5%","36.5%","14.8%","98.2%","94.7%"
"Maple Grove city, Minnesota","","","","","","",""
"    Estimate","2.54","550","7,595","17,412","10,382","28,215","27,744"
"    Percent","(X)","1.1%","15.0%","34.3%","20.5%","98.7%","97.1%"
"Minneapolis city, Minnesota","","","","","","",""
"    Estimate","2.26","11,578","42,217","90,937","59,622","173,566","158,928"
"    Percent","(X)","4.0%","14.6%","31.5%","20.7%","95.5%","87.4%"
"Plymouth city, Minnesota","","","","","","",""
"    Estimate","2.60","353","5,771","20,910","13,354","29,349","28,532"
"    Percent","(X)","0.6%","10.4%","37.9%","24.2%","96.6%","93.9%"
"Rochester city, Minnesota","","","","","","",""
"    Estimate","2.31","1,319","15,737","20,166","20,491","48,228","44,947"
"    Percent","(X)","1.6%","19.3%","24.8%","25.2%","95.5%","89.0%"
"St. Cloud city, Minnesota","","","","","","",""
"    Estimate","2.28","3,065","11,060","9,747","4,227","25,413","23,333"
"    Percent","(X)","7.2%","25.9%","22.8%","9.9%","93.0%","85.4%"
"St. Paul city, Minnesota","","","","","","",""
"    Estimate","2.71","9,507","42,368","51,731","34,974","103,437","98,612"
"    Percent","(X)","4.8%","21.3%","26.0%","17.6%","93.4%","89.0%"
"Woodbury city, Minnesota","","","","","","",""
"    Estimate","2.76","645","6,756","18,456","10,939","25,330","24,627"
"    Percent","(X)","1.4%","14.4%","39.2%","23.2%","96.5%","93.8%"
"Gulfport city, Mississippi","","","","","","",""
"    Estimate","2.74","3,659","15,946","6,639","3,017","22,952","19,904"
"    Percent","(X)","7.9%","34.3%","14.3%","6.5%","89.8%","77.9%"
"Jackson city, Mississippi","","","","","","",""
"    Estimate","2.49","9,542","28,214","15,869","11,674","54,495","53,039"
"    Percent","(X)","9.4%","27.7%","15.6%","11.5%","88.5%","86.1%"
"Columbia city, Missouri","","","","","","",""
"    Estimate","2.44","2,355","10,625","18,858","18,195","44,661","40,176"
"    Percent","(X)","3.4%","15.3%","27.2%","26.3%","95.3%","85.8%"
"Independence city, Missouri","","","","","","",""
"    Estimate","2.44","4,881","30,165","9,281","5,343","43,236","40,299"
"    Percent","(X)","6.2%","38.5%","11.8%","6.8%","91.4%","85.1%"
"Kansas City city, Missouri","","","","","","",""
"    Estimate","2.32","19,685","89,858","79,700","43,640","195,164","178,007"
"    Percent","(X)","5.8%","26.4%","23.4%","12.8%","93.0%","84.9%"
"Lee's Summit city, Missouri","","","","","","",""
"    Estimate","2.70","611","11,972","19,717","13,198","35,987","34,103"
"    Percent","(X)","0.9%","18.3%","30.1%","20.2%","98.7%","93.5%"
"O'Fallon city, Missouri","","","","","","",""
"    Estimate","2.74","2,518","13,085","15,079","8,980","31,288","29,458"
"    Percent","(X)","4.2%","21.8%","25.2%","15.0%","96.9%","91.3%"
"St. Charles city, Missouri","","","","","","",""
"    Estimate","2.18","2,464","11,651","12,854","7,131","28,352","26,409"
"    Percent","(X)","5.0%","23.4%","25.8%","14.3%","95.0%","88.5%"
"St. Joseph city, Missouri","","","","","","",""
"    Estimate","2.41","2,952","22,335","7,361","2,448","25,924","22,836"
"    Percent","(X)","5.7%","42.9%","14.1%","4.7%","88.2%","77.7%"
"St. Louis city, Missouri","","","","","","",""
"    Estimate","1.98","15,404","53,754","44,504","39,549","131,114","120,571"
"    Percent","(X)","7.1%","24.7%","20.4%","18.1%","89.3%","82.1%"
"Springfield city, Missouri","","","","","","",""
"    Estimate","1.94","6,539","32,675","17,057","10,603","67,248","59,375"
"    Percent","(X)","6.2%","30.9%","16.1%","10.0%","83.3%","73.6%"
"Billings city, Montana","","","","","","",""
"    Estimate","2.17","2,989","22,032","17,751","8,572","46,178","42,133"
"    Percent","(X)","4.0%","29.3%","23.6%","11.4%","94.3%","86.0%"
"Missoula city, Montana","","","","","","",""
"    Estimate","2.17","1,161","11,250","16,379","8,133","32,119","29,560"
"    Percent","(X)","2.3%","22.4%","32.6%","16.2%","96.0%","88.4%"
"Lincoln city, Nebraska","","","","","","",""
"    Estimate","2.34","7,661","35,783","45,687","26,536","112,928","106,021"
"    Percent","(X)","4.3%","20.0%","25.6%","14.8%","95.9%","90.1%"
"Omaha city, Nebraska","","","","","","",""
"    Estimate","2.47","15,185","70,609","78,550","44,938","176,092","167,505"
"    Percent","(X)","4.9%","22.7%","25.2%","14.4%","93.3%","88.7%"
"Enterprise CDP, Nevada","","","","","","",""
"    Estimate","2.92","4,981","30,363","27,544","15,630","64,866","62,042"
"    Percent","(X)","3.8%","22.9%","20.8%","11.8%","98.6%","94.3%"
"Henderson city, Nevada","","","","","","",""
"    Estimate","2.63","9,506","58,388","54,227","29,926","115,810","109,828"
"    Percent","(X)","4.0%","24.5%","22.7%","12.5%","95.5%","90.6%"
"Las Vegas city, Nevada","","","","","","",""
"    Estimate","2.73","41,415","122,046","71,326","39,343","219,075","189,254"
"    Percent","(X)","9.4%","27.7%","16.2%","8.9%","93.0%","80.3%"
"North Las Vegas city, Nevada","","","","","","",""
"    Estimate","3.31","16,025","52,175","18,941","7,869","71,849","66,114"
"    Percent","(X)","10.2%","33.2%","12.0%","5.0%","95.0%","87.5%"
"Paradise CDP, Nevada","","","","","","",""
"    Estimate","2.50","15,175","50,462","26,743","14,764","89,000","77,834"
"    Percent","(X)","8.9%","29.7%","15.8%","8.7%","94.5%","82.6%"
"Reno city, Nevada","","","","","","",""
"    Estimate","2.27","10,410","37,314","37,177","24,221","104,692","96,952"
"    Percent","(X)","5.9%","21.1%","21.0%","13.7%","95.1%","88.0%"
"Sparks city, Nevada","","","","","","",""
"    Estimate","2.69","5,699","19,451","10,602","5,548","37,452","35,925"
"    Percent","(X)","8.2%","28.1%","15.3%","8.0%","96.3%","92.4%"
"Spring Valley CDP, Nevada","","","","","","",""
"    Estimate","2.68","11,553","44,559","32,563","12,235","79,956","73,478"
"    Percent","(X)","7.3%","28.2%","20.6%","7.8%","96.4%","88.6%"
"Sunrise Manor CDP, Nevada","","","","","","",""
"    Estimate","3.08","18,967","38,912","8,490","4,457","56,238","49,703"
"    Percent","(X)","15.5%","31.7%","6.9%","3.6%","89.8%","79.3%"
"Manchester city, New Hampshire","","","","","","",""
"    Estimate","2.37","6,810","24,221","18,055","7,994","43,606","41,378"
"    Percent","(X)","8.3%","29.4%","21.9%","9.7%","93.9%","89.1%"
"Nashua city, New Hampshire","","","","","","",""
"    Estimate","2.34","3,360","17,064","14,393","9,158","35,494","34,673"
"    Percent","(X)","5.2%","26.6%","22.5%","14.3%","94.7%","92.5%"
"Bayonne city, New Jersey","","","","","","",""
"    Estimate","2.49","1,367","13,936","12,181","6,029","23,804","22,700"
"    Percent","(X)","2.9%","30.1%","26.3%","13.0%","91.8%","87.5%"
"Camden city, New Jersey","","","","","","",""
"    Estimate","2.94","5,894","15,531","3,307","531","19,498","17,829"
"    Percent","(X)","13.9%","36.6%","7.8%","1.3%","81.1%","74.1%"
"Clifton city, New Jersey","","","","","","",""
"    Estimate","2.99","3,746","21,130","11,878","6,779","25,663","24,674"
"    Percent","(X)","6.4%","36.2%","20.4%","11.6%","91.0%","87.5%"
"East Orange city, New Jersey","","","","","","",""
"    Estimate","2.27","3,193","15,095","8,847","3,298","25,391","22,600"
"    Percent","(X)","7.1%","33.8%","19.8%","7.4%","90.8%","80.8%"
"Elizabeth city, New Jersey","","","","","","",""
