"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"    Estimate","212,637","56,484","156,153"
"Santa Cruz city, California","","",""
"    Estimate","64,267","16,811","47,456"
"Santa Maria city, California","","",""
"    Estimate","106,388","52,698","53,690"
"Santa Monica city, California","","",""
"    Estimate","89,432","26,958","62,474"
"Santa Paula city, California","","",""
"    Estimate","29,659","14,238","15,421"
"Santa Rosa city, California","","",""
"    Estimate","174,830","66,528","108,302"
"Santee city, California","","",""
"    Estimate","56,619","19,206","37,413"
"Saratoga city, California","","",""
"    Estimate","30,000","8,663","21,337"
"Seal Beach city, California","","",""
"    Estimate","24,656","11,849","12,807"
"Seaside city, California","","",""
"    Estimate","32,872","14,822","18,050"
"Selma city, California","","",""
"    Estimate","24,719","13,496","11,223"
"Simi Valley city, California","","",""
"    Estimate","125,345","33,783","91,562"
"Soledad city, California","","",""
"    Estimate","17,278","4,704","12,574"
"South Gate city, California","","",""
"    Estimate","93,265","48,944","44,321"
"South Lake Tahoe city, California","","",""
"    Estimate","23,630","9,966","13,664"
"South Pasadena city, California","","",""
"    Estimate","25,193","4,093","21,100"
"South San Francisco city, California","","",""
"    Estimate","67,628","17,990","49,638"
"South Whittier CDP, California","","",""
"    Estimate","61,713","18,955","42,758"
"Spring Valley CDP (San Diego County), California","","",""
"    Estimate","36,823","16,572","20,251"
"Stanton city, California","","",""
"    Estimate","37,984","18,351","19,633"
"Stockton city, California","","",""
"    Estimate","310,888","157,604","153,284"
"Suisun City city, California","","",""
"    Estimate","29,563","10,808","18,755"
"Sunnyvale city, California","","",""
"    Estimate","152,130","30,252","121,878"
"Temecula city, California","","",""
"    Estimate","113,686","31,363","82,323"
"Temescal Valley CDP, California","","",""
"    Estimate","30,764","6,814","23,950"
"Temple City city, California","","",""
"    Estimate","35,267","13,045","22,222"
"Thousand Oaks city, California","","",""
"    Estimate","126,446","39,507","86,939"
"Torrance city, California","","",""
"    Estimate","142,548","37,961","104,587"
"Tracy city, California","","",""
"    Estimate","94,557","27,051","67,506"
"Tulare city, California","","",""
"    Estimate","65,128","33,259","31,869"
"Turlock city, California","","",""
"    Estimate","73,138","27,133","46,005"
"Tustin city, California","","",""
"    Estimate","79,229","22,147","57,082"
"Twentynine Palms city, California","","",""
"    Estimate","19,536","8,060","11,476"
"Union City city, California","","",""
"    Estimate","73,954","20,548","53,406"
"Upland city, California","","",""
"    Estimate","76,661","27,387","49,274"
"Vacaville city, California","","",""
"    Estimate","91,281","28,407","62,874"
"Valinda CDP, California","","",""
"    Estimate","23,476","8,116","15,360"
"Vallejo city, California","","",""
"    Estimate","121,201","44,585","76,616"
"Victorville city, California","","",""
"    Estimate","118,222","64,516","53,706"
"Vineyard CDP, California","","",""
"    Estimate","27,213","10,550","16,663"
"Visalia city, California","","",""
"    Estimate","133,561","65,817","67,744"
"Vista city, California","","",""
"    Estimate","99,702","38,752","60,950"
"Walnut city, California","","",""
"    Estimate","29,687","9,777","19,910"
"Walnut Creek city, California","","",""
"    Estimate","69,398","21,326","48,072"
"Wasco city, California","","",""
"    Estimate","22,923","12,637","10,286"
"Watsonville city, California","","",""
"    Estimate","53,750","26,346","27,404"
"West Carson CDP, California","","",""
"    Estimate","23,366","6,847","16,519"
"West Covina city, California","","",""
"    Estimate","104,550","37,743","66,807"
"West Hollywood city, California","","",""
"    Estimate","36,417","7,862","28,555"
"Westminster city, California","","",""
"    Estimate","90,440","41,089","49,351"
"Westmont CDP, California","","",""
"    Estimate","33,785","18,598","15,187"
"West Puente Valley CDP, California","","",""
"    Estimate","25,051","9,895","15,156"
"West Rancho Dominguez CDP, California","","",""
"    Estimate","22,933","8,848","14,085"
"West Sacramento city, California","","",""
"    Estimate","53,342","23,314","30,028"
"West Whittier-Los Nietos CDP, California","","",""
"    Estimate","22,960","10,984","11,976"
"Whittier city, California","","",""
"    Estimate","84,583","25,960","58,623"
"Wildomar city, California","","",""
"    Estimate","37,109","12,266","24,843"
"Willowbrook CDP, California","","",""
"    Estimate","19,032","9,211","9,821"
"Windsor town, California","","",""
"    Estimate","27,127","8,298","18,829"
"Woodland city, California","","",""
"    Estimate","59,426","22,212","37,214"
"Yorba Linda city, California","","",""
"    Estimate","67,419","18,195","49,224"
"Yuba City city, California","","",""
"    Estimate","65,324","33,330","31,994"
"Yucaipa city, California","","",""
"    Estimate","53,638","23,251","30,387"
"Yucca Valley town, California","","",""
"    Estimate","25,405","15,575","9,830"
"Arvada city, Colorado","","",""
"    Estimate","120,650","31,473","89,177"
"Aurora city, Colorado","","",""
"    Estimate","375,069","122,272","252,797"
"Boulder city, Colorado","","",""
"    Estimate","104,253","20,463","83,790"
"Brighton city, Colorado","","",""
"    Estimate","39,390","12,564","26,826"
"Broomfield city, Colorado","","",""
"    Estimate","70,115","14,888","55,227"
"Castle Rock town, Colorado","","",""
"    Estimate","67,722","14,968","52,754"
"Centennial city, Colorado","","",""
"    Estimate","108,616","22,861","85,755"
"Clifton CDP, Colorado","","",""
"    Estimate","20,122","9,135","10,987"
"Colorado Springs city, Colorado","","",""
"    Estimate","465,710","175,579","290,131"
"Columbine CDP, Colorado","","",""
"    Estimate","24,629","6,877","17,752"
"Commerce City city, Colorado","","",""
"    Estimate","60,071","18,695","41,376"
"Dakota Ridge CDP, Colorado","","",""
"    Estimate","32,347","6,910","25,437"
"Denver city, Colorado","","",""
"    Estimate","720,746","216,326","504,420"
"Englewood city, Colorado","","",""
"    Estimate","34,648","11,336","23,312"
"Erie town, Colorado","","",""
"    Estimate","28,990","4,776","24,214"
"Evans city, Colorado","","",""
"    Estimate","20,071","7,752","12,319"
"Fort Collins city, Colorado","","",""
"    Estimate","168,153","37,916","130,237"
"Fountain city, Colorado","","",""
"    Estimate","29,675","11,631","18,044"
"Golden city, Colorado","","",""
"    Estimate","18,765","4,165","14,600"
"Grand Junction city, Colorado","","",""
"    Estimate","62,744","28,560","34,184"
"Greeley city, Colorado","","",""
"    Estimate","106,134","38,943","67,191"
"Highlands Ranch CDP, Colorado","","",""
"    Estimate","99,608","17,824","81,784"
"Ken Caryl CDP, Colorado","","",""
"    Estimate","33,994","8,197","25,797"
"Lafayette city, Colorado","","",""
"    Estimate","30,682","6,682","24,000"
"Lakewood city, Colorado","","",""
"    Estimate","156,160","47,500","108,660"
"Littleton city, Colorado","","",""
"    Estimate","47,688","15,273","32,415"
"Longmont city, Colorado","","",""
"    Estimate","96,145","28,955","67,190"
"Loveland city, Colorado","","",""
"    Estimate","78,515","31,228","47,287"
"Montrose city, Colorado","","",""
"    Estimate","20,232","11,540","8,692"
"Northglenn city, Colorado","","",""
"    Estimate","38,663","13,412","25,251"
"Parker town, Colorado","","",""
"    Estimate","57,521","10,027","47,494"
"Pueblo city, Colorado","","",""
"    Estimate","109,447","61,931","47,516"
"Pueblo West CDP, Colorado","","",""
"    Estimate","31,160","11,641","19,519"
"Security-Widefield CDP, Colorado","","",""
"    Estimate","38,050","14,017","24,033"
"Sherrelwood CDP, Colorado","","",""
"    Estimate","21,478","7,134","14,344"
"Thornton city, Colorado","","",""
"    Estimate","140,937","42,695","98,242"
"Westminster city, Colorado","","",""
"    Estimate","112,715","28,305","84,410"
"Wheat Ridge city, Colorado","","",""
"    Estimate","30,912","13,413","17,499"
"Windsor town, Colorado","","",""
"    Estimate","31,168","7,726","23,442"
"Bridgeport city, Connecticut","","",""
"    Estimate","142,580","76,373","66,207"
"Bristol city, Connecticut","","",""
"    Estimate","59,390","20,363","39,027"
"Danbury city, Connecticut","","",""
"    Estimate","83,226","28,618","54,608"
"Darien CDP, Connecticut","","",""
"    Estimate","22,302","5,082","17,220"
"East Hartford CDP, Connecticut","","",""
"    Estimate","49,435","22,380","27,055"
"East Haven CDP, Connecticut","","",""
"    Estimate","28,326","11,084","17,242"
"Hartford city, Connecticut","","",""
"    Estimate","119,932","62,950","56,982"
"Manchester CDP, Connecticut","","",""
"    Estimate","29,977","14,301","15,676"
"Meriden city, Connecticut","","",""
"    Estimate","58,737","27,729","31,008"
"Middletown city, Connecticut","","",""
"    Estimate","45,321","17,908","27,413"
"Milford city (balance), Connecticut","","",""
"    Estimate","52,839","15,614","37,225"
"Naugatuck borough, Connecticut","","",""
"    Estimate","30,858","12,221","18,637"
"New Britain city, Connecticut","","",""
"    Estimate","71,990","39,199","32,791"
"New Haven city, Connecticut","","",""
"    Estimate","128,756","62,346","66,410"
"Newington CDP, Connecticut","","",""
"    Estimate","29,553","9,919","19,634"
"New London city, Connecticut","","",""
"    Estimate","25,160","11,549","13,611"
"North Haven CDP, Connecticut","","",""
"    Estimate","26,828","10,602","16,226"
"Norwalk city, Connecticut","","",""
"    Estimate","88,584","25,590","62,994"
"Norwich city, Connecticut","","",""
"    Estimate","38,190","17,228","20,962"
"Shelton city, Connecticut","","",""
"    Estimate","40,698","15,047","25,651"
"Stamford city, Connecticut","","",""
"    Estimate","129,034","44,494","84,540"
"Stratford CDP, Connecticut","","",""
"    Estimate","51,543","20,742","30,801"
"Torrington city, Connecticut","","",""
"    Estimate","33,541","15,635","17,906"
"Trumbull CDP, Connecticut","","",""
"    Estimate","35,480","13,317","22,163"
"Waterbury city, Connecticut","","",""
"    Estimate","106,576","60,304","46,272"
"West Hartford CDP, Connecticut","","",""
"    Estimate","62,055","15,157","46,898"
"West Haven city, Connecticut","","",""
"    Estimate","54,327","20,958","33,369"
"Westport CDP, Connecticut","","",""
"    Estimate","28,285","6,727","21,558"
"Wethersfield CDP, Connecticut","","",""
"    Estimate","25,824","7,958","17,866"
"Bear CDP, Delaware","","",""
"    Estimate","20,231","6,959","13,272"
"Dover city, Delaware","","",""
"    Estimate","36,862","17,437","19,425"
"Middletown town, Delaware","","",""
"    Estimate","20,836","5,519","15,317"
"Newark city, Delaware","","",""
"    Estimate","33,245","9,224","24,021"
"Wilmington city, Delaware","","",""
"    Estimate","67,353","32,053","35,300"
"Washington city, District of Columbia","","",""
"    Estimate","696,599","238,129","458,470"
"Alafaya CDP, Florida","","",""
"    Estimate","96,399","22,568","73,831"
"Altamonte Springs city, Florida","","",""
"    Estimate","43,841","12,239","31,602"
"Apollo Beach CDP, Florida","","",""
"    Estimate","24,093","5,261","18,832"
"Apopka city, Florida","","",""
"    Estimate","53,328","15,564","37,764"
"Aventura city, Florida","","",""
"    Estimate","36,864","11,542","25,322"
"Bartow city, Florida","","",""
"    Estimate","19,678","7,948","11,730"
"Bayonet Point CDP, Florida","","",""
"    Estimate","28,395","14,502","13,893"
